Age,Income,CreditScore,LoanAmount,LoanDuration,NumOfLatePayments,EmploymentYears,HasMortgage,HasDependents,Region,Class
50,47335.05115962407,787,9653.387529444599,37,0,0,1,0,2,0
65,71630.08696480273,832,19335.167304220417,35,1,29,0,0,0,0
72,51011.08830256704,584,24781.258708404133,26,1,14,1,0,3,0
40,68956.50269083216,844,32895.452046021375,47,0,31,1,0,1,0
79,35053.76025250529,691,22675.866742599836,50,1,19,0,0,1,1
41,58837.66751302068,469,24742.210908169374,45,1,3,1,0,3,1
54,38979.454450099765,376,32865.72837127164,49,1,33,0,1,3,0
52,41657.721075599984,596,22706.633681454266,13,0,37,1,1,1,1
61,43821.41240108673,629,27864.630486505604,46,1,19,1,0,0,0
57,42881.01547094333,362,16963.26492352603,47,0,27,0,0,3,0
39,42955.93015277224,569,25770.00871017568,12,0,38,0,0,3,1
44,68259.12634835848,515,21679.979885418797,8,1,24,0,0,2,1
52,50681.1675967646,489,18065.248066517328,42,4,10,0,1,3,1
18,53375.83083814414,374,32377.617730651094,8,0,7,0,0,3,1
52,43142.60054672825,809,10375.268569866212,23,2,33,0,1,0,1
54,62854.08955577163,392,13120.710434070328,56,2,26,0,1,2,1
64,55325.84417358379,352,29420.83742093818,47,3,21,0,1,0,1
31,45366.070334753924,795,27769.19246053339,14,1,7,0,0,3,1
20,26235.74161060035,393,20101.57676937691,29,1,32,1,0,3,0
18,53244.44687602806,528,22717.549517810126,12,3,38,0,1,2,1
22,58635.19283803187,549,24139.07210328539,38,2,8,1,1,2,1
43,35317.2824251498,690,22920.124889501963,30,3,21,0,1,0,1
72,45569.08071951257,481,21929.248801296246,47,0,8,1,0,3,1
31,58057.40752191434,566,13276.231359056614,39,1,30,0,0,3,0
56,26436.079143173487,580,29905.855772264622,43,0,33,0,0,0,1
44,40267.21724885165,382,18367.588820067125,26,1,3,0,0,0,1
26,55653.63412439602,485,12075.382947906599,43,4,13,0,0,2,0
32,66575.27658277415,830,21072.775671303956,45,0,7,1,1,3,1
32,82786.69718406751,647,22745.704783576897,23,1,34,1,0,3,0
43,79379.82152550636,722,23162.83948546115,44,1,21,1,0,0,1
59,52156.54223474014,753,27782.282431439366,55,1,5,1,0,3,1
77,42736.59677777071,566,16961.53295918426,38,1,32,0,0,3,1
30,63846.83401656329,806,19478.74483151382,33,2,17,1,0,2,0
68,41846.10614414514,441,13248.3774258387,30,3,7,1,0,3,1
49,38568.570725815225,615,21869.747231027053,19,1,6,0,1,2,1
56,45421.009214523496,531,13130.802967946154,25,0,31,1,1,3,0
66,43539.9004973434,596,15280.66673327365,44,1,6,0,1,3,1
69,56189.459345988136,321,27867.61112230678,25,0,9,0,0,3,1
78,40963.97566798458,683,21091.83859030514,12,1,35,0,1,0,1
49,51276.83085946722,425,31396.527525362537,9,0,30,0,0,3,0
21,73924.3017710798,402,29413.740226100515,36,1,30,1,1,3,1
47,51832.11071111072,409,21725.9508450441,35,0,9,1,0,1,1
54,72751.13432182667,771,22829.688348671214,42,0,19,1,0,1,0
40,68030.84901598924,364,18092.033934456864,26,0,34,0,0,2,1
56,58880.60355050949,771,28351.259262914333,6,0,28,1,0,3,0
62,44687.7081509222,375,22904.995632840117,57,0,29,0,1,2,0
32,65607.61966023657,318,27276.48746590226,8,1,30,1,0,1,1
60,46250.376220428894,683,14825.083810243399,18,0,32,1,1,2,1
46,49969.855174595585,489,9111.412800190874,12,1,39,0,1,3,0
53,54952.980112483914,659,24018.036767029596,11,0,3,1,1,1,0
30,49919.48791409777,751,25622.344868648703,11,0,33,1,0,3,1
49,39195.984223841944,378,20601.516625446293,39,0,16,1,0,2,1
24,27093.51627525696,471,24628.93118190353,37,1,33,1,1,2,1
76,64386.993954882186,511,13184.000633155647,21,2,31,0,0,0,1
68,58555.13190209541,744,27514.384026851956,43,2,32,1,1,1,1
39,24190.83511255487,448,29373.749692158162,13,0,36,0,1,2,1
45,38798.18975694715,309,28165.45427596768,26,1,30,0,1,1,1
19,52685.98143910077,841,20991.74852924388,16,2,25,0,1,0,1
59,56638.585303408516,354,29491.95232052815,55,1,30,1,0,1,1
62,27223.195115493625,479,10857.05501174777,28,1,30,0,0,2,1
79,48661.42000186368,680,24587.777095321155,11,0,27,1,1,1,1
74,58094.818928809465,721,25731.600736276836,51,2,37,1,1,0,1
70,44727.322971510795,750,24009.933712408765,20,2,9,1,1,1,0
23,53837.4447265159,392,12477.040418134497,16,2,7,1,0,1,1
45,42686.72176933285,819,21834.86447507993,32,0,35,0,1,1,0
45,63637.94527549283,712,17951.183944686174,20,2,18,0,0,1,0
61,38010.714292005934,693,4340.805058618604,50,1,27,0,0,2,1
61,32868.8264135843,630,10578.288637375046,43,2,4,1,1,3,1
37,50433.90296092326,732,29290.06538647927,9,0,23,0,0,1,0
47,28497.110415672567,462,16816.68465109214,19,2,6,1,0,0,0
79,18423.332179058147,339,28449.044255992958,50,1,19,1,0,1,0
28,66256.0294708102,384,29149.20648653664,15,1,1,1,1,0,0
75,35236.63277658772,390,24369.92606890646,59,1,9,0,0,3,1
72,29995.22626124281,783,15084.550955994368,34,0,17,0,1,0,1
45,37823.61834575588,684,27553.876643884912,17,1,33,0,1,3,1
42,37150.24052883807,492,21708.450580810506,45,0,13,1,1,0,1
56,47868.32808254684,552,20357.34346900067,25,2,9,1,0,0,0
79,33597.6989947105,543,12707.144396598866,42,0,37,1,0,2,1
50,57472.792133842326,569,15993.741210503224,7,2,31,0,1,3,1
18,59693.51196736573,318,12823.559237806008,25,0,2,1,1,1,0
74,30875.12824076697,339,27673.041351681488,17,0,7,1,1,1,1
44,40728.55065577418,815,32274.954170001514,43,0,8,0,0,2,1
79,42154.14139942121,332,27389.483459899984,35,1,10,1,0,1,1
74,47524.889579504874,749,21591.383015238822,52,2,15,0,1,2,1
69,66240.25275475523,838,17545.297925101375,23,1,33,1,0,0,1
30,67104.70122503913,618,23811.329490517342,55,0,23,0,1,1,1
58,87483.0107924868,423,16663.39189071519,15,1,30,0,1,3,1
20,15959.391062687326,671,19749.105026014204,12,0,4,0,0,0,1
56,36135.564152725565,650,13428.256548479407,47,2,32,0,1,3,1
23,77210.13771612475,622,25205.12673917762,10,0,29,1,1,3,0
25,22989.49523334748,787,25607.26603162889,53,4,29,0,1,1,1
44,76868.9759625606,750,27270.845087945527,34,0,14,1,1,1,0
26,52210.26909714867,652,24462.284869924544,56,0,38,0,0,1,1
79,52761.991595338164,415,23903.761124717563,40,0,15,0,0,0,1
54,30803.030208207943,312,11649.423738555684,44,0,25,1,1,3,1
50,43232.551699935546,619,11314.58615519488,56,1,11,1,1,2,1
68,76210.6453956486,464,22648.449544673676,17,0,18,1,0,0,0
59,49284.7529713816,384,28807.183177859617,15,1,34,0,0,2,1
61,43332.51457684692,547,17862.14772068455,42,0,19,1,1,1,1
41,56085.78794568854,731,20044.87026764125,7,1,20,1,1,3,0
32,47116.73599546014,778,20127.968630217827,8,2,36,0,1,1,1
76,55177.26724709661,667,5253.693293827884,19,1,14,0,1,1,1
71,37253.88001760118,656,21923.395349558472,52,1,15,0,1,1,1
49,48842.71027087842,707,15601.18377515137,25,4,15,1,0,0,1
49,40383.85601838922,644,24888.64344715165,50,0,22,0,0,2,1
41,22940.500389579836,478,19749.301680582877,54,4,3,1,1,2,1
58,57229.36680871528,724,18565.899714636194,57,2,28,1,1,2,0
69,31493.407376666666,840,18740.167688973244,9,1,36,0,1,1,1
66,47528.88604843847,742,17383.84283713546,56,2,23,0,1,0,1
79,63891.02368741867,605,9107.613265999826,31,1,7,0,0,1,0
66,27532.798151893552,666,27626.788490677816,52,0,4,1,0,2,1
75,59070.26145424403,335,14928.768425809034,20,1,28,1,0,3,1
69,45502.798145470064,762,16257.982051921272,14,1,9,1,1,0,0
29,35502.14898609404,445,20632.52363541207,8,1,8,0,0,3,1
79,80343.84933329103,445,11075.576089028205,7,0,21,1,1,0,1
56,49991.65556367747,679,16007.361930352132,44,1,9,1,1,3,1
19,41478.606656348886,467,35331.94414792195,46,0,19,0,1,1,1
20,38296.80616450397,574,22693.87491751821,59,1,19,0,0,0,1
66,63217.43702655044,386,13137.577390675931,35,2,26,1,0,0,1
54,40819.156603048825,453,3349.2822773467124,42,1,37,0,0,0,1
66,61347.771478115385,796,28011.153943459936,22,2,9,0,0,3,1
73,49962.80253315259,614,11903.333766456797,8,1,18,0,1,1,0
34,66742.82096650773,573,15657.041920773576,14,1,29,1,1,1,0
76,34361.90828775674,561,16670.125744300003,13,0,15,1,0,0,1
66,36454.05141355994,786,12694.965549733224,14,0,39,1,0,1,0
19,45784.92028954897,753,19390.109493773587,22,0,11,0,0,3,0
19,47029.00253712836,742,15588.710543211924,29,2,4,0,0,3,1
45,44681.64456954484,561,24889.070146608603,13,0,2,0,1,0,0
71,89471.60608139777,842,21124.413581214365,58,0,23,0,0,2,1
40,80948.70506527861,404,31457.02832126001,19,1,25,1,0,2,1
54,54485.826122315644,649,31618.814732378356,59,0,30,0,1,0,1
49,56254.581110756866,737,12361.464884578083,21,2,2,0,0,3,1
50,46453.517298806284,468,17383.87837389739,23,0,0,1,0,2,0
18,34252.61699722804,642,37234.44597901056,54,1,10,0,1,2,1
36,47268.91639167122,529,10732.324055825222,29,1,4,0,1,2,1
79,61566.76627193081,322,26381.002281427754,44,2,6,1,0,0,1
19,69584.40142352013,580,24383.98305549056,57,1,32,1,0,3,1
70,64935.62630784058,818,13208.40222953316,52,1,12,0,1,1,1
61,27353.385602686827,552,13594.409507601922,32,1,30,0,1,0,1
43,45661.5848276943,703,34759.55089761155,33,1,12,0,1,0,1
49,27966.986527010115,432,34599.6209862144,12,1,0,0,0,3,1
23,67532.65336104078,573,23439.325123384835,39,1,37,0,1,3,1
49,43814.23407799501,531,8910.365393266906,32,0,38,1,0,1,0
72,49293.34826553451,844,30054.86295764712,39,0,32,1,0,0,0
21,57200.75402007502,378,8876.517641786406,44,0,34,0,1,0,0
72,91492.09879717848,334,25721.59220245216,24,0,38,1,0,0,1
28,54024.12409684289,794,7045.901806879194,11,1,8,0,1,2,0
73,46425.93443290622,409,20060.948027092592,35,0,5,1,1,3,1
76,31384.3681819454,620,27079.84626321912,33,1,8,1,0,0,1
34,71879.59172754658,627,-2602.867288251473,17,1,26,1,0,0,1
55,47275.45303554387,683,15772.967116389096,20,2,28,0,1,1,1
41,74857.13697391549,663,21226.495605424505,50,1,3,1,0,2,0
22,66584.19669423085,531,17246.556427928073,44,0,24,1,1,2,0
69,43055.658460872924,713,14631.40339658772,44,2,15,1,0,0,1
51,29115.857287161434,593,18932.19624525956,20,1,33,0,0,2,1
23,54088.5367580541,846,28300.190585094944,41,2,10,1,0,2,1
39,40776.44706842597,473,30951.639255831404,8,2,8,1,1,1,0
28,50590.18763684459,691,25640.169317389475,6,1,34,1,1,1,1
65,65735.74410281506,401,32426.890089714943,12,0,26,0,1,2,0
33,25196.268265627496,592,15721.755432393871,14,1,38,0,0,1,1
50,53969.20766102321,384,24774.277257555364,6,1,27,1,1,0,1
26,61393.94286328605,500,11849.227673710953,10,2,4,0,0,1,1
77,62121.658426340946,840,43448.99558750278,52,2,15,0,0,3,1
76,29546.867432188657,596,20801.17650155952,41,1,27,1,1,0,1
23,56290.047046609456,355,26432.855448310533,15,0,1,1,0,1,1
33,68053.04872860039,771,5900.280738122929,7,1,9,1,0,2,0
46,55148.50697600113,315,26250.67636729689,28,1,18,0,0,0,1
20,48264.58690837195,365,20909.59391223814,44,0,19,1,1,1,0
37,67094.19410860166,771,23712.83920155245,34,0,37,1,0,3,1
77,39585.21784341755,322,20108.577456197207,24,1,34,0,1,1,1
76,27052.506376950947,785,19041.62266039433,43,5,9,0,0,0,1
53,46991.03277603602,714,17534.811406192657,52,0,35,0,0,1,0
36,58025.67787555998,604,19282.73937671426,25,1,15,0,1,3,1
43,65584.05142154651,476,31746.202067658305,17,0,25,0,0,3,1
20,57957.53861251898,494,17060.933684627624,16,0,30,0,1,2,1
36,62537.31603087287,312,38070.27002815614,40,1,0,0,1,0,1
37,65679.67145155939,465,20491.015181779367,57,0,22,0,0,3,1
49,44909.34490552834,449,31199.73623808379,54,1,26,1,1,3,1
24,47780.91047138615,640,29151.40884604207,12,1,18,0,0,3,0
69,69307.51689724813,473,7492.5049501879585,28,0,15,1,1,2,1
58,31847.644636539688,466,9185.058660542341,55,2,37,1,0,0,1
50,56436.992922834426,396,14574.153814342182,22,0,7,1,0,3,1
57,39249.36756624468,703,7650.530357510201,53,0,15,1,1,0,1
56,66503.92404846454,376,16695.50251200159,7,1,11,0,1,3,1
35,49730.9677913729,536,20224.9436447879,10,2,8,1,1,3,1
57,50113.90903067186,590,25188.875734311434,26,0,6,0,1,0,1
18,75933.19831095029,435,21444.61131662143,18,1,39,1,0,0,1
28,33859.358308270304,666,20041.918276858083,16,0,36,1,1,2,1
45,53237.292098279046,847,28189.93032042448,29,1,22,1,1,2,1
74,47298.108033532684,547,27119.065403347067,38,1,7,1,0,0,0
42,57986.16974064547,513,35262.72997155514,32,1,22,0,0,0,1
67,78939.96180033419,369,21492.990752699963,40,0,19,1,0,2,0
40,40921.37735112226,628,712.1744116185364,23,2,10,0,0,0,1
48,32039.034314689325,315,23417.58894126145,26,2,0,1,1,0,1
47,37860.088614769906,786,38152.24970933591,9,0,4,0,1,2,0
59,46507.72876668622,473,28207.88875104954,46,0,13,0,1,2,0
52,50963.462505549905,573,30042.400555630607,37,0,6,0,0,2,1
24,51717.931936798734,823,20758.638981917837,48,1,23,1,1,3,0
77,77039.91426763151,518,27305.093191411932,54,0,38,0,1,1,1
33,74372.58566982263,812,30463.42825886508,16,1,3,1,0,3,1
43,69544.1973360044,698,17325.99748037669,8,3,26,0,1,0,1
65,87716.57954926013,410,15993.736402668193,56,0,6,0,1,2,0
74,62361.47684993947,763,23637.624496208056,57,2,23,1,1,3,1
69,66625.3262526896,392,27754.09224217177,26,1,8,1,1,3,1
77,62071.55782840649,750,-2042.9522500913408,48,2,0,1,1,0,0
66,59613.5797069068,695,18441.765064194155,19,1,33,0,1,3,0
19,55915.94786274263,778,4372.366003474586,11,1,39,0,0,1,1
18,44047.144326270194,615,19019.382169420027,56,0,30,0,0,2,1
65,31298.32628243203,652,33516.91563940997,58,1,38,1,1,2,0
79,48040.1904655683,538,15007.853126412541,34,1,22,0,1,0,1
29,58486.60549508095,403,17711.325793028827,36,0,2,1,0,0,1
22,51083.92851460985,328,25295.486144221446,52,0,38,0,1,2,1
54,34019.96458821116,388,27950.28266913732,33,0,19,0,0,2,1
49,47511.75425024932,674,27649.333064486826,48,4,25,1,0,3,1
76,46729.95787125293,696,20298.543612070534,55,0,33,0,1,0,0
72,49064.6803704683,663,24563.734724939448,41,2,31,1,0,0,1
26,57363.730233899885,446,24212.66661480161,33,1,32,0,1,2,0
58,60593.87055365453,613,14370.034382430764,24,2,39,1,0,1,1
52,42499.22823538171,847,5991.637025223266,8,0,4,1,0,0,1
36,64716.81782018771,751,12823.80582458539,17,1,9,1,0,0,1
65,66974.57179502468,805,31509.84731528977,41,0,35,0,0,0,0
33,54804.52899572818,785,37705.70548149917,29,4,29,1,1,2,1
20,59971.25407929602,400,19271.852749969796,17,3,8,0,1,3,1
37,64763.47163692923,406,31201.440380545522,29,2,31,1,1,2,1
41,33535.330256307934,590,17620.814603890773,6,2,20,0,0,2,1
71,65820.97002472694,648,22792.264925722095,33,0,25,1,1,0,1
73,38149.0869110307,526,15086.360226020246,21,0,22,1,1,0,1
50,39609.47545057432,349,28116.388303981043,26,3,8,0,0,1,1
41,52944.337517221415,457,14891.072907253481,35,4,4,1,1,2,1
69,17839.39811487996,627,12859.092007673149,39,0,7,0,1,3,0
28,52634.30462338641,376,20374.007906454735,31,0,10,1,1,3,1
66,64726.71420433704,753,26534.13135032255,59,2,35,0,1,2,1
25,25311.14230330975,609,21309.224895266845,40,0,17,0,0,0,0
53,66335.13986819677,626,16247.786120276243,36,1,30,0,1,0,0
55,39518.18572208818,807,12802.575027067307,21,2,7,1,1,1,1
57,53102.92670739201,406,6504.866222734499,47,3,35,0,0,3,1
37,41696.38239491807,540,16349.975301707178,34,1,18,0,0,0,1
79,58593.77726193569,734,18776.689313608487,34,0,21,1,0,0,0
52,65374.21334245645,327,24431.684468520547,14,1,1,1,0,0,1
65,59705.155465737465,548,10663.140980926672,19,0,10,0,1,1,0
79,49940.2827575945,663,25345.500797895213,13,1,2,0,1,3,1
42,42862.16995109862,832,15246.732572732913,7,0,32,1,1,1,0
52,48960.4695594333,771,15889.835240945333,16,1,9,0,1,1,0
42,59839.571974394625,838,29989.75813306003,7,1,2,1,0,1,1
46,60353.99598759378,712,181.21274982813702,52,0,38,1,1,1,0
35,58262.398732641836,464,10185.368486301952,23,2,36,0,0,2,0
63,30761.336876644335,347,20365.16446685272,10,1,33,1,0,0,1
35,49654.66312346885,783,19960.232034250712,12,1,27,1,1,1,1
